id_venta,fecha,producto,categoria,cantidad,precio_unitario,total_venta,metodo_pago,cliente_tipo,canal_venta,provincia,cluster
1,2024-05-05,Organizador de escritorio,Hogar,3,10.22,30.66,Transferencia,Nuevo,Tienda física,Azuay,2
2,2024-10-29,Organizador de escritorio,Hogar,1,18.81,18.81,Pago móvil,Nuevo,Tienda física,Tungurahua,0
3,2024-01-14,Cuchara de madera,Cocina,5,4.16,20.8,Transferencia,Frecuente,Instagram,Chimborazo,2
4,2024-03-22,Decoración de pared,Decoración,1,15.56,15.56,Pago móvil,Frecuente,WhatsApp,Pichincha,1
5,2024-02-22,Cuchara de madera,Cocina,3,7.79,23.37,Efectivo,Frecuente,Tienda física,Cotopaxi,2
6,2024-08-23,Bandeja de madera,Hogar,1,19.85,19.85,Efectivo,Frecuente,Tienda física,Guayas,0
7,2024-07-04,Bandeja de madera,Hogar,5,22.78,113.9,Transferencia,Nuevo,Tienda física,Azuay,0
8,2024-04-29,Cuchara de madera,Cocina,1,6.87,6.87,Efectivo,Frecuente,WhatsApp,Chimborazo,2
9,2024-07-08,Organizador de escritorio,Hogar,2,18.18,36.36,Tarjeta,Nuevo,WhatsApp,Azuay,0
10,2024-11-21,Organizador de escritorio,Hogar,5,16.13,80.65,Transferencia,Nuevo,Instagram,Chimborazo,1
11,2024-04-22,Porta vasos,Hogar,5,8.43,42.15,Tarjeta,Nuevo,Instagram,Tungurahua,2
12,2024-04-18,Bandeja de madera,Hogar,1,17.22,17.22,Tarjeta,Nuevo,Facebook Marketplace,Chimborazo,1
13,2024-03-12,Organizador de escritorio,Hogar,3,14.05,42.15,Transferencia,Frecuente,Facebook Marketplace,Guayas,1
14,2024-09-17,Porta vasos,Hogar,2,9.26,18.52,Pago móvil,Nuevo,Tienda física,Tungurahua,2
15,2024-11-01,Cuchara de madera,Cocina,4,6.14,24.56,Efectivo,Frecuente,Facebook Marketplace,Guayas,2
16,2024-01-06,Porta vasos,Hogar,5,10.76,53.8,Efectivo,Frecuente,WhatsApp,Tungurahua,1
17,2024-01-02,Bandeja de madera,Hogar,4,17.65,70.6,Tarjeta,Nuevo,Tienda física,Azuay,0
18,2024-11-07,Bandeja de madera,Hogar,5,22.94,114.7,Transferencia,Nuevo,WhatsApp,Pichincha,0
19,2024-01-01,Decoración de pared,Decoración,5,29.07,145.35,Tarjeta,Frecuente,Tienda física,Tungurahua,0
20,2024-05-02,Bandeja de madera,Hogar,3,23.42,70.26,Efectivo,Nuevo,Tienda física,Tungurahua,0
21,2024-09-29,Organizador de escritorio,Hogar,1,14.35,14.35,Transferencia,Nuevo,Facebook Marketplace,Guayas,1
22,2024-08-04,Cuchara de madera,Cocina,5,4.33,21.65,Transferencia,Nuevo,WhatsApp,Chimborazo,2
23,2024-09-21,Organizador de escritorio,Hogar,4,16.15,64.6,Pago móvil,Nuevo,Instagram,Pichincha,1
24,2024-10-10,Tabla de cortar,Cocina,5,11.38,56.9,Transferencia,Nuevo,Tienda física,Tungurahua,1
25,2024-02-04,Organizador de escritorio,Hogar,2,15.94,31.88,Efectivo,Frecuente,Tienda física,Guayas,1
26,2024-04-19,Cuchara de madera,Cocina,4,4.39,17.56,Transferencia,Frecuente,Instagram,Chimborazo,2
27,2024-12-03,Porta vasos,Hogar,1,7.71,7.71,Pago móvil,Frecuente,Facebook Marketplace,Chimborazo,2
28,2024-12-10,Porta vasos,Hogar,1,13.77,13.77,Efectivo,Nuevo,Facebook Marketplace,Azuay,1
29,2024-05-07,Bandeja de madera,Hogar,1,22.41,22.41,Transferencia,Nuevo,Facebook Marketplace,Pichincha,0
30,2024-05-07,Porta vasos,Hogar,4,7.65,30.6,Efectivo,Frecuente,Tienda física,Tungurahua,2
31,2024-02-17,Organizador de escritorio,Hogar,1,19.99,19.99,Transferencia,Nuevo,Facebook Marketplace,Chimborazo,0
32,2024-01-31,Porta vasos,Hogar,4,7.92,31.68,Transferencia,Frecuente,Tienda física,Chimborazo,2
33,2024-05-26,Bandeja de madera,Hogar,4,24.04,96.16,Pago móvil,Frecuente,Instagram,Pichincha,0
34,2024-10-23,Bandeja de madera,Hogar,1,14.83,14.83,Efectivo,Frecuente,Tienda física,Tungurahua,1
35,2024-03-21,Decoración de pared,Decoración,5,19.54,97.7,Efectivo,Nuevo,Instagram,Tungurahua,0
36,2024-07-25,Decoración de pared,Decoración,2,11.36,22.72,Efectivo,Nuevo,Tienda física,Guayas,1
37,2024-10-16,Tabla de cortar,Cocina,5,12.19,60.95,Tarjeta,Frecuente,Instagram,Azuay,1
38,2024-07-21,Organizador de escritorio,Hogar,3,12.46,37.38,Transferencia,Frecuente,Facebook Marketplace,Cotopaxi,1
39,2024-10-15,Tabla de cortar,Cocina,5,8.09,40.45,Efectivo,Nuevo,Instagram,Guayas,2
40,2024-02-05,Bandeja de madera,Hogar,3,13.72,41.16,Transferencia,Frecuente,WhatsApp,Pichincha,1
